epoch,loss,accuracy,time_elapsed
1,2.264194,0.179117,4930
2,2.027769,0.384850,4915
3,1.779413,0.496467,4914
4,1.552334,0.551833,4902
5,1.373341,0.591067,4904
6,1.241690,0.621067,4905
7,1.148282,0.642867,4901
8,1.083309,0.657650,4893
9,1.040392,0.667467,4893
10,1.008130,0.674817,4911
11,0.985815,0.680850,4879
12,0.973672,0.683633,4903
13,0.962669,0.686733,4881
14,0.954562,0.689083,4882
15,0.951457,0.691483,4901
16,0.948181,0.693350,4935
17,0.940631,0.696250,4874
18,0.939153,0.698000,4893
19,0.938897,0.699067,4908
20,0.935140,0.702017,4902
21,0.932024,0.703533,4888
22,0.930603,0.705200,4883
23,0.926157,0.706950,4881
24,0.918788,0.709683,4874
25,0.918649,0.711717,4878
26,0.923496,0.712000,4914
27,0.922805,0.712783,4919
28,0.919341,0.714667,4880
29,0.915960,0.717033,4872
30,0.919007,0.717917,4881
31,0.913839,0.720233,4868
32,0.902857,0.722850,4881
33,0.909859,0.723433,4885
34,0.901814,0.726117,4884
35,0.906125,0.726967,4889
36,0.903550,0.726967,4890
37,0.903790,0.727750,4891
38,0.891872,0.731283,4976
39,0.892508,0.731567,4911
40,0.894058,0.731650,4898
41,0.898907,0.731000,4878
42,0.902424,0.731833,4865
43,0.890231,0.734183,4872
44,0.896129,0.733650,4893
45,0.892270,0.734033,4878
46,0.890388,0.737200,4885
47,0.894010,0.736067,4879
48,0.896282,0.736633,4882
49,0.902900,0.735933,4896
50,0.880465,0.741250,4871
51,0.898615,0.736867,4880
52,0.910781,0.732967,4881
53,0.897816,0.737800,4871
54,0.904924,0.738500,4870
55,0.906228,0.738450,4886
56,0.902965,0.739017,4878
57,0.917386,0.734250,4874
58,0.915094,0.735817,4879
59,0.914195,0.736633,4883
60,0.909293,0.738233,4905
61,0.905272,0.738633,4879
62,0.913693,0.739750,4888
63,0.914097,0.739667,4889
64,0.913651,0.738317,4870
65,0.897435,0.744683,4879
66,0.906285,0.742533,4880
67,0.899673,0.741800,4873
68,0.932776,0.738683,4872
69,0.900428,0.744917,4884
70,0.923569,0.739017,4878
71,0.893356,0.744450,4879
72,0.897215,0.743883,4880
73,0.922722,0.740550,4879
74,0.923145,0.741117,4874
75,0.943314,0.737683,4881
76,0.921926,0.740450,4884
77,0.928212,0.741617,4878
78,0.911370,0.745500,4889
79,0.934792,0.740250,4875
80,0.920394,0.743350,4865
81,0.915362,0.744400,4868
82,0.922524,0.746200,4879
83,0.931358,0.744500,4889
84,0.898163,0.748233,4874
85,0.927456,0.744133,4872
86,0.888208,0.752117,4874
87,0.920095,0.747583,4871
88,0.942176,0.741117,4864
89,0.949805,0.743133,4869
90,0.908122,0.749100,4863
91,0.926389,0.748117,4876
92,0.922028,0.747233,4882
93,0.926382,0.747133,4872
94,0.918852,0.749517,4878
95,0.905364,0.751833,4862
96,0.884948,0.755067,4872
97,0.919016,0.749550,5451
98,0.875635,0.758883,4944
99,0.913569,0.748483,4872
100,0.946002,0.745317,4870
