epoch,loss,accuracy,time_elapsed
1,2.166620,0.256633,4921
2,1.748579,0.466717,4920
3,1.412673,0.549683,4905
4,1.268292,0.578067,5535
5,1.215274,0.593650,4897
6,1.184281,0.607117,4910
7,1.153487,0.620933,4897
8,1.129828,0.633117,4906
9,1.107083,0.643917,4909
10,1.090324,0.652400,4913
11,1.083599,0.656750,4903
12,1.067168,0.663267,4909
13,1.048009,0.670133,4897
14,1.042111,0.674033,5156
15,1.034864,0.677500,5286
16,1.018996,0.682133,4899
17,1.024322,0.683033,4895
18,1.031904,0.683017,4905
19,1.039875,0.683533,4927
20,1.042516,0.683950,4906
21,1.042388,0.684783,4913
22,1.031895,0.689000,4907
23,1.032607,0.688500,4918
24,1.018197,0.692167,4905
25,1.008128,0.696883,4907
26,1.007888,0.698250,4915
27,1.040803,0.693267,4928
28,1.005417,0.701350,4922
29,1.003729,0.701567,4911
30,1.015289,0.700900,4911
31,0.997711,0.705767,4925
32,1.051572,0.697000,4915
33,1.045386,0.700100,4921
34,1.006560,0.706267,4906
35,1.027245,0.702633,4915
36,1.003057,0.707800,5545
37,0.977320,0.712133,4916
38,1.050407,0.698467,4910
39,1.030502,0.705717,4909
40,1.060065,0.695917,4889
41,0.993195,0.710667,4912
42,1.057616,0.702133,4912
43,1.020677,0.707033,4914
44,0.967265,0.716167,4912
45,0.967910,0.717767,4910
46,1.002389,0.711567,4907
47,1.017559,0.710067,4894
48,1.026301,0.708550,4887
49,1.098289,0.703967,4893
50,0.986366,0.717600,4897
51,0.951906,0.723300,4904
52,1.038989,0.710800,4909
53,0.992936,0.717933,4906
54,0.958383,0.726867,4897
55,0.992351,0.717850,4899
56,0.991944,0.720250,4905
57,1.001460,0.722600,4895
58,1.026235,0.714850,4892
59,1.042983,0.713500,4892
60,1.011042,0.713850,4881
61,0.981234,0.722833,4895
62,1.025275,0.721833,4898
63,1.055639,0.715000,4898
64,0.960115,0.726050,4898
65,0.994149,0.723000,4892
66,1.048700,0.715717,4892
67,0.946101,0.733100,4892
68,1.032890,0.720150,4894
69,1.037553,0.720567,4889
70,0.991468,0.722817,4895
71,0.957167,0.733483,4884
72,0.995040,0.727633,4889
73,1.038765,0.719933,4871
74,1.081492,0.709850,4892
75,0.964061,0.729033,4882
76,1.050718,0.716717,4901
77,0.971352,0.733967,4892
78,0.979411,0.732333,4880
79,1.013303,0.724517,4867
80,0.959235,0.734367,4877
81,0.969459,0.731533,4885
82,0.991107,0.725650,4880
83,0.973414,0.733267,4870
84,0.976790,0.734483,4863
85,0.968450,0.738833,4861
86,0.924383,0.742383,4880
87,0.971643,0.735883,4926
88,0.957704,0.734167,4887
89,0.951231,0.739117,4875
90,0.999833,0.727000,4889
91,1.062762,0.722267,4863
92,1.016533,0.724400,4865
93,0.961595,0.737283,4881
94,1.004195,0.729933,4870
95,0.941677,0.743250,4869
96,1.017871,0.733100,4871
97,0.998005,0.731483,4866
98,1.084449,0.718650,4895
99,0.970184,0.733350,4909
100,0.947499,0.744333,4883
101,1.006219,0.732033,4898
102,0.944130,0.747333,4887
103,0.946943,0.748050,4890
104,0.958303,0.745350,4876
105,0.968702,0.734883,4893
106,0.987192,0.736467,4901
107,0.917237,0.750183,4896
108,1.008786,0.732000,4863
109,0.941843,0.745117,4885
110,0.867239,0.756983,4872
111,0.967696,0.740683,4881
112,0.955915,0.737817,4903
113,0.951385,0.748333,4868
114,1.061394,0.732400,4870
115,0.850353,0.765583,4862
116,0.935653,0.751767,4869
117,0.927451,0.753267,4909
118,0.979474,0.740217,4900
119,0.880656,0.758983,4905
120,0.964790,0.745683,4917
121,1.025695,0.731217,4916
122,1.076649,0.735850,4895
123,0.940226,0.750367,4879
124,0.941334,0.749683,4876
125,0.922913,0.753483,4897
126,0.928169,0.755483,4873
127,0.914536,0.756933,4889
128,0.919130,0.756600,4873
129,1.044282,0.733667,4878
130,0.966192,0.750050,4883
131,0.895739,0.764450,4880
132,0.865623,0.766700,4868
133,0.976003,0.747033,4873
134,0.932594,0.750967,4867
135,0.952947,0.748317,4903
136,0.951527,0.749417,4898
137,0.871944,0.760600,4890
138,0.922610,0.752817,4874
139,0.921045,0.756600,4901
140,1.067781,0.736317,4898
141,0.898881,0.765983,4888
142,0.924989,0.759133,4882
143,0.921701,0.761433,4891
144,0.840181,0.773000,4889
145,0.996924,0.740633,4886
