epoch,loss,accuracy,time_elapsed
1,1.711849,0.413133,5269
2,1.305009,0.571533,5258
3,1.246624,0.614717,5264
4,1.235593,0.640783,5250
5,1.239730,0.655450,5258
6,1.232538,0.669617,5256
7,1.244041,0.676467,5259
8,1.276763,0.682767,5279
9,1.296907,0.686367,5322
10,1.325550,0.690283,5343
11,1.363966,0.694750,5338
12,1.348540,0.698050,5336
13,1.432889,0.700667,5324
14,1.409796,0.706117,5338
15,1.409087,0.708850,5361
16,1.452020,0.707733,5331
17,1.498677,0.701400,5334
18,1.513690,0.710217,5339
19,1.559810,0.709917,5306
20,1.555774,0.711833,5326
21,1.584406,0.711400,5315
22,1.738177,0.701167,5299
23,1.759713,0.707767,5308
24,1.674730,0.711867,5311
25,1.632652,0.717917,5306
26,1.681274,0.719733,5311
27,1.783081,0.707783,5299
28,1.734158,0.712783,5309
29,1.755410,0.714550,5320
30,1.747635,0.712750,5314
31,1.674633,0.718933,5297
32,1.768276,0.719450,5301
33,1.741234,0.722950,5314
34,1.791945,0.715167,5302
35,1.895012,0.710100,5346
36,1.915959,0.714667,5334
37,1.867194,0.723117,5304
38,1.913275,0.718933,5325
39,1.967987,0.717367,5303
40,1.948629,0.717817,5313
41,1.965473,0.720967,5329
42,2.037296,0.717967,5315
43,1.948877,0.713167,5320
44,1.991862,0.713817,5339
45,2.061487,0.713367,5335
46,2.028081,0.720217,5323
47,2.056164,0.720500,5336
48,2.036609,0.718800,5334
49,2.118611,0.719883,5333
50,2.150739,0.720967,5346
51,2.173215,0.718517,5333
52,2.210220,0.710883,5338
53,2.093753,0.721233,5346
54,2.079315,0.724633,5370
55,2.111779,0.717017,5365
56,2.139376,0.718217,5403
57,2.355553,0.712650,5371
58,2.273770,0.719483,5384
59,2.289278,0.721367,5391
60,2.567397,0.707850,5367
61,2.342838,0.715350,5376
62,2.364210,0.720417,5360
63,2.415215,0.718600,5333
64,2.361091,0.719200,5372
65,2.361563,0.721350,5401
66,2.244559,0.727017,5377
67,2.417460,0.721517,5396
68,2.494586,0.721900,5376
69,2.581505,0.718500,5392
70,2.548726,0.709933,5376
71,2.374797,0.726450,5394
72,2.505182,0.717000,5359
73,2.396943,0.722900,5377
74,2.274695,0.727217,5348
75,2.408155,0.719150,5372
76,2.469922,0.728667,5360
77,2.514134,0.716650,5367
78,2.557464,0.725750,5346
79,2.430240,0.728267,5360
80,2.602352,0.718733,5376
81,2.334608,0.729650,5388
82,2.467363,0.725683,5380
83,2.617976,0.725633,5404
84,2.457612,0.740750,5416
85,2.581203,0.724150,5417
86,2.695243,0.719867,5408
87,2.624797,0.725400,5414
88,2.621702,0.720767,5411
89,2.678404,0.715667,5379
90,2.515533,0.734733,5363
91,2.673091,0.720967,5359
92,2.548821,0.727817,5346
93,2.580380,0.728450,5344
94,2.620539,0.732517,5389
95,2.668687,0.722750,5380
96,2.912877,0.711317,5356
97,2.745555,0.721633,5369
98,2.832459,0.720600,5413
99,2.890322,0.721783,5407
100,2.574506,0.735917,5419
101,2.584275,0.724783,5399
102,2.700198,0.723083,5394
103,2.843402,0.727667,5394
104,2.866462,0.722567,5393
105,2.669729,0.731617,5404
106,2.832778,0.726983,5406
107,2.920142,0.720117,5399
108,2.829010,0.732800,5386
109,2.793577,0.735217,5395
110,2.944559,0.732933,5405
111,2.907138,0.729150,5402
112,2.854718,0.733433,5409
113,2.779348,0.726767,5390
114,2.899857,0.717533,5419
115,2.793461,0.733183,5380
116,2.939727,0.723617,5366
117,2.979213,0.724417,5378
118,2.848755,0.733833,5388
119,3.140936,0.727217,5376
120,3.169904,0.724650,5408
121,2.868992,0.732050,5378
122,2.958016,0.731600,5381
123,2.970317,0.735483,5394
124,2.776270,0.738300,5379
125,2.895576,0.729550,5376
