epoch,loss,accuracy,time_elapsed
1,1.435692,0.539383,12058
2,1.021778,0.680783,12055
3,0.953728,0.712983,12043
4,0.950264,0.728333,12051
5,0.976761,0.736000,12078
6,0.987146,0.743033,12161
7,1.030839,0.747467,12152
8,1.067241,0.746850,12101
9,1.103357,0.747233,12096
10,1.119027,0.750033,12228
11,1.137624,0.753900,12155
12,1.127852,0.755883,12151
13,1.170787,0.759517,12176
14,1.229662,0.757150,12214
15,1.216664,0.759883,12161
16,1.195281,0.762650,12156
17,1.248018,0.759783,12154
18,1.266368,0.764917,12177
19,1.251002,0.767933,12173
20,1.312509,0.763517,12187
21,1.441292,0.758283,12179
22,1.358013,0.767317,12185
23,1.438950,0.756283,12179
24,1.374550,0.768700,12191
25,1.434701,0.762550,12185
26,1.453061,0.766767,12167
27,1.438502,0.767950,12186
28,1.502796,0.762467,12178
29,1.493981,0.765383,12148
30,1.516516,0.766167,12168
31,1.558666,0.764000,12165
32,1.641324,0.767750,12154
33,1.630693,0.767467,12143
34,1.688095,0.767617,12155
35,1.693928,0.763217,12188
36,1.729582,0.759467,12169
37,1.812890,0.761167,12144
38,1.788183,0.766467,12158
39,1.770504,0.767700,12154
40,1.719511,0.766300,12167
41,1.775789,0.769383,12178
42,1.696654,0.777117,12165
43,1.765893,0.770567,12203
44,1.814773,0.770767,12169
45,1.814412,0.769450,12193
46,1.817895,0.772033,12177
47,1.783368,0.775700,12156
48,1.968542,0.765950,12184
49,1.749956,0.784450,12239
50,1.891609,0.776150,12169
51,1.937688,0.768667,12198
52,1.813633,0.783550,12228
53,1.993946,0.771767,12220
54,1.984660,0.775283,12220
55,1.938720,0.775817,12184
56,2.054356,0.768917,12091
57,1.965670,0.775833,12081
58,2.081995,0.770700,12085
59,2.107780,0.769917,12101
60,2.170348,0.766567,12111
61,2.152058,0.766633,12111
62,2.021059,0.779583,12142
63,2.175107,0.762667,12107
64,2.280282,0.764900,12138
65,2.085269,0.776167,12112
66,2.068522,0.777467,12095
67,2.027938,0.782317,12078
68,2.051380,0.781767,12083
69,2.082952,0.775850,12131
70,2.086473,0.774867,12059
71,2.176277,0.780867,12077
72,2.168841,0.777567,12083
73,2.207409,0.774217,12108
74,2.236062,0.776967,12104
75,2.141907,0.779700,12105
76,2.207827,0.772567,12137
77,2.196138,0.773817,12088
78,2.305714,0.768017,12100
79,2.241177,0.776517,12109
80,2.245300,0.777333,12093
81,2.305028,0.772400,12133
82,2.402344,0.772850,12104
83,2.318212,0.771467,12085
84,2.362126,0.771433,12104
85,2.234305,0.782300,12107
86,2.328949,0.775867,12105
87,2.459871,0.767867,12091
88,2.259802,0.772850,12055
89,2.405020,0.777350,12058
90,2.411089,0.776750,12080
91,2.406135,0.777017,12071
92,2.476120,0.774650,12111
93,2.428097,0.776750,12098
94,2.452319,0.774533,12085
95,2.440638,0.776617,12078
96,2.354957,0.781083,12132
97,2.399646,0.778450,12124
98,2.480079,0.777000,12097
99,2.397581,0.780667,12089
100,2.382633,0.780167,12084
