epoch,loss,accuracy,test_accuracy,time_elapsed
1,2.695599,0.139983,0.291400,20459
2,2.394078,0.189033,0.423300,20438
3,2.196700,0.236733,0.536400,20436
4,2.061029,0.277333,0.612600,20782
5,1.976310,0.307133,0.633900,20556
6,1.922759,0.325817,0.662900,21492
7,1.873649,0.348000,0.677600,21747
8,1.849147,0.358150,0.688200,24648
9,1.837197,0.364367,0.686100,25349
10,1.810466,0.369317,0.681200,25080
11,1.794320,0.378083,0.693000,22984
12,1.791364,0.381000,0.706600,21900
13,1.788372,0.384417,0.700700,21734
14,1.780825,0.387750,0.688600,21713
15,1.782386,0.384817,0.697200,21749
16,1.783056,0.386517,0.699400,21772
17,1.772306,0.386600,0.700500,21781
18,1.776058,0.389050,0.693800,21708
19,1.780073,0.386350,0.703100,21612
20,1.773390,0.386983,0.706700,21796
21,1.766694,0.391000,0.702200,21824
22,1.774841,0.387333,0.708600,21645
23,1.773422,0.390600,0.695700,21641
24,1.770409,0.389917,0.697000,21472
25,1.770045,0.390017,0.703900,21760
26,1.770768,0.388000,0.699100,21800
27,1.765446,0.392033,0.701400,21944
28,1.765405,0.393033,0.700600,21967
29,1.763257,0.393417,0.702000,21841
30,1.764827,0.391683,0.704700,21660
31,1.764087,0.391233,0.701500,21653
32,1.765402,0.390950,0.705600,21558
33,1.772837,0.391033,0.706000,21711
34,1.766795,0.389817,0.713000,21854
35,1.755358,0.393817,0.706000,21731
36,1.767711,0.393467,0.706300,21680
37,1.767081,0.394100,0.710700,21755
38,1.764714,0.392233,0.716400,21837
39,1.761718,0.394617,0.707400,21887
40,1.767132,0.390117,0.690300,22047
41,1.771016,0.391117,0.700200,21947
42,1.764328,0.397967,0.698700,21879
43,1.763506,0.393883,0.697600,21882
44,1.757826,0.391883,0.708500,21733
45,1.754614,0.397200,0.710800,21893
46,1.756019,0.396500,0.707400,21835
47,1.766122,0.391750,0.706400,21934
48,1.765243,0.390433,0.702500,21894
49,1.761311,0.395267,0.699600,21711
50,1.758584,0.395433,0.699900,21866
51,1.757964,0.395117,0.708800,21872
52,1.760707,0.392350,0.700300,21830
53,1.762749,0.394033,0.712300,21928
54,1.760872,0.393267,0.704200,21807
55,1.759135,0.392383,0.711200,21504
56,1.750905,0.399817,0.704200,21349
57,1.765282,0.398617,0.702800,21728
58,1.757357,0.394633,0.703200,21777
59,1.758835,0.394367,0.699100,21617
60,1.757462,0.396083,0.704400,21704
61,1.753240,0.395983,0.708900,21467
62,1.749087,0.396700,0.702800,21405
63,1.750693,0.398883,0.705500,21586
64,1.743819,0.401333,0.705500,21553
65,1.748420,0.399950,0.707500,21609
66,1.750236,0.399667,0.709000,21577
67,1.749503,0.396783,0.709400,21581
68,1.747772,0.398250,0.708500,21592
69,1.748299,0.399650,0.708800,21594
70,1.757391,0.396517,0.711300,21458
71,1.756614,0.396633,0.706800,21536
72,1.749253,0.399917,0.706900,21739
73,1.751739,0.397900,0.710700,21688
74,1.753190,0.397200,0.708600,21822
75,1.742265,0.403183,0.704800,21681
76,1.747437,0.399633,0.714800,21626
77,1.746010,0.401783,0.716000,22140
78,1.750231,0.396250,0.717900,22564
79,1.755162,0.398200,0.717000,22424
80,1.746890,0.401433,0.712800,22430
81,1.748030,0.401850,0.711200,21817
82,1.751325,0.397250,0.706000,21994
83,1.751896,0.397333,0.713300,22122
84,1.742771,0.399883,0.710000,21841
85,1.749433,0.398033,0.709600,21777
86,1.749021,0.399800,0.702000,22161
87,1.752128,0.396067,0.710000,22488
88,1.746841,0.397417,0.709000,22136
89,1.746057,0.399483,0.717200,22270
90,1.746396,0.399450,0.700100,21862
91,1.749575,0.397833,0.710200,21915
92,1.754478,0.399233,0.711900,22909
93,1.739521,0.402483,0.710800,22527
94,1.746363,0.398733,0.715600,22167
95,1.742200,0.398967,0.705600,23341
96,1.748740,0.397117,0.705700,23152
97,1.746855,0.398800,0.712300,23152
98,1.751526,0.395083,0.709400,23012
99,1.747829,0.398267,0.703900,22474
100,1.740840,0.401650,0.702300,22373
