epoch,loss,accuracy,test_accuracy,time_elapsed
1,2.027115,0.292450,0.480000,19143
2,1.514794,0.554117,0.597000,19228
3,1.259957,0.637283,0.654400,19043
4,1.111921,0.677967,0.689400,19090
5,1.016031,0.702200,0.708500,19085
6,0.949388,0.717350,0.723300,19944
7,0.900838,0.729333,0.732800,20269
8,0.864276,0.737550,0.738600,23063
9,0.836062,0.743700,0.746100,23185
10,0.813882,0.749033,0.750000,23356
11,0.796196,0.753717,0.753900,21336
12,0.781938,0.756800,0.757200,20234
13,0.770347,0.759267,0.759600,20190
14,0.760868,0.761133,0.763200,20227
15,0.753089,0.762450,0.765300,20296
16,0.746695,0.764050,0.766200,20221
17,0.741445,0.765533,0.767500,20264
18,0.737150,0.767250,0.768100,20540
19,0.733661,0.768433,0.769000,20927
20,0.730857,0.769833,0.771200,20563
21,0.728643,0.770383,0.771800,20052
22,0.726939,0.771200,0.771900,20189
23,0.725680,0.772100,0.771900,20044
24,0.724812,0.772433,0.772000,20117
25,0.724290,0.772733,0.772900,20570
26,0.724076,0.773317,0.773400,20613
27,0.724136,0.773500,0.773300,20695
28,0.724442,0.773533,0.772900,20473
29,0.724970,0.773683,0.772100,20749
30,0.725699,0.774050,0.772500,20375
31,0.726610,0.774000,0.772500,20272
32,0.727686,0.774017,0.772200,20398
33,0.728913,0.774117,0.772000,20538
34,0.730278,0.773950,0.771900,20262
35,0.731769,0.773733,0.771600,20336
36,0.733376,0.773417,0.772200,20376
37,0.735090,0.773583,0.771700,20156
38,0.736902,0.773417,0.771600,20344
39,0.738805,0.773300,0.770700,20468
40,0.740792,0.773250,0.770900,20374
41,0.742856,0.773050,0.771400,20319
42,0.744993,0.772867,0.771400,20195
43,0.747197,0.772833,0.771300,20376
44,0.749464,0.772733,0.771300,20387
45,0.751789,0.772633,0.770600,20389
46,0.754169,0.772467,0.770100,20335
47,0.756601,0.772367,0.769800,20421
48,0.759080,0.772317,0.769300,20229
49,0.761605,0.772083,0.769000,20140
50,0.764172,0.771883,0.769300,20069
51,0.766780,0.771817,0.769300,20182
52,0.769426,0.771767,0.769300,20380
53,0.772107,0.771600,0.769600,20241
54,0.774823,0.771367,0.769200,20335
55,0.777571,0.770967,0.769200,20372
56,0.780349,0.770517,0.769300,20486
57,0.783157,0.770333,0.769100,20455
58,0.785993,0.770017,0.769600,20274
59,0.788855,0.770000,0.769300,20262
60,0.791742,0.769933,0.769000,20273
61,0.794654,0.769900,0.768300,20033
62,0.797588,0.769650,0.767900,19962
63,0.800545,0.769383,0.767600,20332
64,0.803523,0.769233,0.767300,20414
65,0.806522,0.769100,0.767000,20182
66,0.809540,0.769167,0.766600,20229
67,0.812577,0.769100,0.766200,20247
68,0.815632,0.769100,0.766400,20455
69,0.818705,0.769067,0.766400,20054
70,0.821795,0.768917,0.766100,19973
71,0.824901,0.768483,0.766300,20248
72,0.828023,0.768367,0.766100,20303
73,0.831161,0.768317,0.765800,20465
74,0.834313,0.768017,0.766100,20240
75,0.837479,0.768017,0.766100,20513
76,0.840660,0.768033,0.765700,20383
77,0.843854,0.768050,0.766100,20552
78,0.847061,0.768017,0.766100,20541
79,0.850281,0.767967,0.766000,20535
80,0.853513,0.767667,0.765700,20461
81,0.856758,0.767717,0.765300,20000
82,0.860014,0.767333,0.765200,20120
83,0.863282,0.767250,0.764800,20168
84,0.866560,0.767100,0.764400,20275
85,0.869850,0.766800,0.764400,20457
86,0.873151,0.766633,0.764400,20307
87,0.876461,0.766650,0.764100,20374
88,0.879782,0.766533,0.763600,20329
89,0.883112,0.766400,0.763200,20220
90,0.886453,0.766267,0.763000,20282
91,0.889802,0.766083,0.762900,20193
92,0.893161,0.765950,0.762500,20100
93,0.896528,0.765850,0.762400,20123
94,0.899904,0.765700,0.762300,20013
95,0.903289,0.765350,0.761800,20094
96,0.906682,0.765067,0.761600,20257
97,0.910083,0.764967,0.761500,20330
98,0.913492,0.764733,0.761800,20311
99,0.916909,0.764733,0.761500,20252
100,0.920333,0.764667,0.761400,20203
